№ Образца,Адсорбент,"Tрег, ᵒС","W0, см3/г","E0, кДж/моль","х0, нм","а0, ммоль/г","E, кДж/моль","SБЭТ, м2/г","Ws, см3/г","Sme, м2/г","Wme, см3/г",Металл,Лиганд,Растворитель,"m (соли), г","m(кис-ты), г","Т.син., °С","Т суш., °С","Vсин. (р-ля), мл",Mix_solv_ratio,carboxyl_groups (ligand),aromatic_rings (ligand),amino_groups (ligand),carbon_atoms (ligand),oxygen_atoms (ligand),nitrogen_atoms (ligand),molecular_weight (ligand),logP (ligand),TPSA (ligand),h_bond_acceptors (ligand),h_bond_donors (ligand),Молярка_соли,Молярка_кислоты,n_соли,n_кислоты,n_ratio,Vsyn_m,Total molecular weight (metal),Average ionic radius (metal),Average electronegativity (metal),Solvent_MolWt,Solvent_LogP,Solvent_NumHDonors,Solvent_NumHAcceptors,Adsorption_Potential,Capacity_Density,SurfaceArea_MicroVol_Ratio,Adsorption_Energy_Ratio,S_BET_E,x0_W0,K_equilibrium,Delta_G,B_micropore
93,MOF#93,150,0.41873244,16.0,0.75,12.07,5.28,915.5,0.8987324400000001,136.4,0.4800000000000001,Fe,BTC,ДМФА,1.212,0.63,150,150,36.0,1,6,1,0,9,6,0,207.117,-3.2229,120.39,6,0,404,207,0.003,0.0030434782608695,0.9857139618368412,29.7029702725223,55.845,0.8525,1.83,73.095,-0.2956000000000001,0.0,1.0,4.745307283200001,0.0131840524303515,2186.360335047458,0.329999999979375,4833.84,0.31404933,8.415258288078293,-5.280000000294564,1.3150433553145985e-05
94,MOF#94,150,0.16235856,19.12121212121212,0.6275752773375596,4.68,6.31,315.0,0.18235856,0.0,0.0199999999999999,Fe,BTC,ДМФА,1.213,0.63,150,150,32.0,1,6,1,0,9,6,0,207.117,-3.2229,120.39,6,0,404,207,0.0030024752475247,0.0030434782608695,0.9865272571848914,26.380873844698367,55.845,0.8525,1.83,73.095,-0.2956000000000001,0.0,1.0,1.1506825135999998,0.0148571428570956,1940.150233285204,0.3299999999827416,1987.65,0.1018922183201268,12.75045503116677,-6.310000000194411,9.207658378596792e-06
97,MOF#97,150,0.44648604,15.48484848484848,0.7749510763209394,12.87,5.11,1006.8,0.83648604,118.0,0.3900000000000001,Fe,BTC,ДМФА,1.212,0.63,150,140,40.0,1,6,1,0,9,6,0,207.117,-3.2229,120.39,6,0,404,207,0.003,0.0030434782608695,0.9857139618368412,33.00330030280256,55.845,0.8525,1.83,73.095,-0.2956000000000001,0.0,1.0,4.274443664400001,0.0127830750893794,2254.9417172036515,0.3299999999786889,5144.7480000000005,0.346004837260274,7.857476332968064,-5.110000000315473,1.4039967937010824e-05
98,MOF#98,140,0.4145694,23.0,0.5217391304347826,11.95,7.59,888.4,1.1045694,244.1,0.69,Al,BDC,ДМФА,0.7505,0.4983,140,140,28.0,1,4,1,0,8,4,0,164.11599999999996,-1.5864000000000005,80.25999999999999,4,0,375,164,0.0020013333333333,0.0030384146341463,0.6586766177878814,37.308460976271206,26.9815386,0.675,1.61,73.095,-0.2956000000000001,0.0,1.0,8.383681745999999,0.0134511481314571,2142.9463869187007,0.3299999999856521,6742.956,0.2162970782608695,21.369012825464864,-7.590000000116,6.363914914188583e-06
99,MOF#99,140,0.33616548,15.15151515151515,0.792,9.69,5.0,881.4,0.93616548,175.6,0.5999999999999999,Fe,NH2-BDC,ДМФА,0.808,0.5436,140,140,24.0,1,4,1,1,8,4,1,179.13099999999997,-2.0042,106.28,5,1,404,179,0.002,0.0030368715083798,0.6585722629057487,29.7029702602686,55.845,0.8525,1.83,73.095,-0.2956000000000001,0.0,1.0,4.6808274,0.0109938733832414,2621.922980842878,0.32999999997822,4407.0,0.26624306016,7.51641660025158,-5.000000000329787,1.466452187072069e-05
100,MOF#100,140,0.208152,17.33333333333333,0.6923076923076924,6.0,5.72,476.1,1.448152,211.2,1.24,Al,BTB,ДМФА,0.376,0.2192,140,140,44.0,1,6,4,0,27,6,0,435.4110000000002,1.7781000000000005,120.39,6,0,375,435,0.0010026666666666,0.000503908045977,1.9897770732069944,117.02127628451788,26.9815386,0.675,1.61,73.095,-0.2956000000000001,0.0,1.0,8.28342944,0.0126023944549199,2287.2708295511416,0.3299999999809616,2723.292,0.1441052307692308,10.049776522466493,-5.720000000246654,1.1205103145876198e-05
101,MOF#101,140,0.07736316,16.81818181818182,0.7135135135135136,2.23,5.55,162.7,0.26736316,54.0,0.19,Fe,BTB,ДМФА,0.404,0.2191,140,140,50.0,1,6,4,0,27,6,0,435.4110000000002,1.7781000000000005,120.39,6,0,404,435,0.001,0.0005036781609195,1.985390855111721,123.76237593128124,55.845,0.8525,1.83,73.095,-0.2956000000000001,0.0,1.0,1.483865538,0.0137062077442304,2103.068151519817,0.3299999999803783,902.985,0.0551996601081081,9.38365507910408,-5.550000000264164,1.1902054923075455e-05
104,MOF#104,140,0.27510756,20.81818181818182,0.5764192139737991,7.93,6.87,548.1,0.31510756,16.5,0.04,Zn,BTB,ДМФА,0.207,0.087,140,140,32.0,1,6,4,0,27,6,0,435.4110000000002,1.7781000000000005,120.39,6,0,297,435,0.0006969696969696,0.0001999999999999,3.4848310606931814,154.58937123386778,65.409,0.88,1.65,73.095,-0.2956000000000001,0.0,1.0,2.1647889372,0.0144681627439984,1992.3116544223224,0.3299999999841484,3765.447,0.1585772834934497,15.982286011360262,-6.870000000155098,7.767735736204223e-06
105,MOF#105,140,0.6966153599999999,14.21212121212121,0.8443496801705757,20.08,4.69,1729.5,1.48661536,174.1,0.7900000000000001,Fe,BDC,ДМФА,0.8085,0.4981,140,140,24.0,1,4,1,0,8,4,0,164.11599999999996,-1.5864000000000005,80.25999999999999,4,0,404,164,0.0020012376237623,0.0030371951219512,0.6589095808790574,29.684601076456897,55.845,0.8525,1.83,73.095,-0.2956000000000001,0.0,1.0,6.9722260384000005,0.0116102919918984,2482.718723740576,0.3299999999767805,8111.355,0.5881869564179103,6.632819375253452,-4.690000000373721,1.6667184035715766e-05
106,MOF#106,140,0.33963468,14.24242424242424,0.8425531914893617,9.79,4.7,852.4,0.6696346799999999,82.7,0.3299999999999999,Fe,BDC,ДМФА,0.8082,0.4983,140,140,24.0,1,4,1,0,8,4,0,164.11599999999996,-1.5864000000000005,80.25999999999999,4,0,404,164,0.0020004950495049,0.0030384146341463,0.6584007227395011,29.69561985932242,55.845,0.8525,1.83,73.095,-0.2956000000000001,0.0,1.0,3.147282996,0.0114852182074008,2509.755474588886,0.3299999999768298,4006.28,0.2861602835744681,6.659631401894956,-4.700000000372216,1.6596335299592936e-05
107,MOF#107,140,0.06140484,13.66666666666667,0.8780487804878049,1.77,4.51,149.0,0.77140484,125.0,0.71,Al,NH2-BDC,ДМФА,0.7504,0.5436,140,140,28.0,1,4,1,1,8,4,1,179.13099999999997,-2.0042,106.28,5,1,375,179,0.0020010666666666,0.0030368715083798,0.658923501445965,37.31343278609617,26.9815386,0.675,1.61,73.095,-0.2956000000000001,0.0,1.0,3.4790358284,0.0118791946307927,2426.5187821266404,0.3299999999758535,671.99,0.0539164448780487,6.168247344085059,-4.510000000401867,1.8024151639765847e-05
108,MOF#108,130,0.25186392,16.48484848484848,0.7279411764705882,7.26,5.44,571.0,0.50186392,0.0,0.25,Fe,BTC,ДМФА,1.213,0.63,130,130,32.0,1,6,1,0,9,6,0,207.117,-3.2229,120.39,6,0,404,207,0.0030024752475247,0.0030434782608695,0.9865272571848914,26.380873844698367,55.845,0.8525,1.83,73.095,-0.2956000000000001,0.0,1.0,2.7301397248000003,0.0127145359019041,2267.097239385866,0.3299999999799817,3106.24,0.1833421182352941,8.976350397859948,-5.44000000027615,1.2388254445827108e-05
109,MOF#109,130,0.13495188,15.57575757575757,0.7704280155642024,3.89,5.14,313.8,0.60495188,0.0,0.47,Fe,BDC,ДМФА,0.8085,0.498,130,130,24.0,1,4,1,0,8,4,0,164.11599999999996,-1.5864000000000005,80.25999999999999,4,0,404,164,0.0020012376237623,0.0030365853658536,0.659041891996304,29.684601076456897,55.845,0.8525,1.83,73.095,-0.2956000000000001,0.0,1.0,3.1094526632,0.0123964308476341,2325.2732579548115,0.3299999999788133,1612.932,0.1039707091050583,7.953149507705505,-5.140000000311677,1.3876555540887116e-05
110,MOF#110,130,0.1856022,17.48484848484848,0.6863084922010398,5.35,5.77,468.8,0.4556022,0.0,0.27,Fe,BDC,ДМФА,0.8084,0.4983,130,130,24.0,1,4,1,0,8,4,0,164.11599999999996,-1.5864000000000005,80.25999999999999,4,0,404,164,0.0020009900990099,0.0030384146341463,0.6585636528861825,29.688273095388084,55.845,0.8525,1.83,73.095,-0.2956000000000001,0.0,1.0,2.628824694,0.0114121160409312,2525.832115536173,0.3299999999811265,2704.976,0.1273803660311958,10.254547777266325,-5.77000000024173,1.1011748654158598e-05
111,MOF#111,130,0.53495064,14.75757575757576,0.813141683778234,15.42,4.87,1223.1,0.96495064,0.0,0.43,Fe,BDC,ДМФА,0.8081,0.498,130,130,24.0,1,4,1,0,8,4,0,164.11599999999996,-1.5864000000000005,80.25999999999999,4,0,404,164,0.0020002475247524,0.0030365853658536,0.6587158354016245,29.69929460500025,55.845,0.8525,1.83,73.095,-0.2956000000000001,0.0,1.0,4.6993096168,0.0126073092960407,2286.379165213488,0.3299999999776385,5956.496999999999,0.4349906641478439,7.132381438452722,-4.870000000347544,1.5457882217659702e-05
