№ Образца,Адсорбент,"Tрег, ᵒС","W0, см3/г","E0, кДж/моль","х0, нм","а0, ммоль/г","E, кДж/моль","SБЭТ, м2/г","Ws, см3/г","Sme, м2/г","Wme, см3/г",Металл,Лиганд,Растворитель,"m (соли), г","m(кис-ты), г","Т.син., °С","Т суш., °С","Vсин. (р-ля), мл",Mix_solv_ratio,carboxyl_groups (ligand),aromatic_rings (ligand),amino_groups (ligand),carbon_atoms (ligand),oxygen_atoms (ligand),nitrogen_atoms (ligand),molecular_weight (ligand),logP (ligand),TPSA (ligand),h_bond_acceptors (ligand),h_bond_donors (ligand),Молярка_соли,Молярка_кислоты,n_соли,n_кислоты,n_ratio,Vsyn_m,Total molecular weight (metal),Average ionic radius (metal),Average electronegativity (metal),Solvent_MolWt,Solvent_LogP,Solvent_NumHDonors,Solvent_NumHAcceptors,Adsorption_Potential,Capacity_Density,SurfaceArea_MicroVol_Ratio,Adsorption_Energy_Ratio,S_BET_E,x0_W0,K_equilibrium,Delta_G,B_micropore
216,MOF#216(Zn),130,0.07354704,18.48484848484848,0.6491803278688525,2.12,6.1,168.4,0.10354704,14.2,0.03,Zn,BTB,ДМФА,0.3566,0.3508,130,130,64.0,1,6,4,0,27,6,0,435.4110000000002,1.7781000000000005,120.38999999999999,6,0,297,435,0.0012006734006734007,0.0008064367816091954,1.488860551991417,179.47279815066517,65.409,0.88,1.65,73.095,-0.2956000000000001,0.0,1.0,0.631636944,0.012589073634129519,2289.691029174104,0.3299999999821476,1027.24,0.04774529154098361,11.714755491419753,-6.1000000002115975,9.85254089674936e-06
218,MOF#218(Fe),130,0.09991296,16.84848484848485,0.7122302158273381,2.88,5.56,241.4,0.23991296,0.0,0.14,Fe,NH2-BDC,ДМФА,0.8074,0.5434,130,130,24.0,1,4,1,1,8,4,1,179.13099999999997,-2.0042,106.28,5,1,404,179,0.0019985148514851487,0.003035754189944134,0.658325433521511,29.72504331220579,55.845,0.8525,1.83,73.095,-0.2956000000000001,0.0,1.0,1.3339160576,0.011930405965153561,2416.102951848259,0.32999999998041357,1342.184,0.0711610290647482,9.42158688392818,-5.560000000263099,1.1859280276901817e-05
219,MOF#219(Fe),130,0.5516028000000001,15.66666666666667,0.7659574468085106,15.9,5.17,1596.8,1.0116028,87.3,0.4599999999999999,Fe,NH2-BDC,ДМФА,0.8081,0.5436,130,130,24.0,1,4,1,1,8,4,1,179.13099999999997,-2.0042,106.28,5,1,404,179,0.0020002475247524755,0.003036871508379888,0.6586537693739302,29.699294605000254,55.845,0.8525,1.83,73.095,-0.2956000000000001,0.0,1.0,5.229986476,0.009957414829653084,2894.8366417015345,0.3299999999789361,8255.456,0.4225042723404256,8.04998760562903,-5.170000000307928,1.371597958644097e-05
222,MOF-222(Zn)^^,110,0.07007784,26.54545454545454,0.452054794520548,2.02,8.76,169.0,0.08007784,10.0,0.0099999999999999,Zn,BTB,ДМФА,0.3566,0.349,110,110,64.0,1,6,4,0,27,6,0,435.4110000000002,1.7781000000000005,120.38999999999999,6,0,297,435,0.0012006734006734007,0.0008022988505747126,1.4965394793646298,179.47279815066517,65.409,0.88,1.65,73.095,-0.2956000000000001,0.0,1.0,0.7014818784,0.011952662721822766,2411.60397621268,0.32999999998756857,1480.44,0.031679023561643836,34.258709311013824,-8.760000000072356,4.7774890896780746e-06
225,MOF-225^^,110,0.06695556,25.45454545454545,0.4714285714285715,1.93,8.4,164.0,0.11695556,31.0,0.05,Zn,BTB,ДМФА,0.3562,0.349,110,130,64.0,1,6,4,0,27,6,0,435.4110000000002,1.7781000000000005,120.38999999999999,6,0,297,435,0.0011993265993265993,0.0008022988505747126,1.494860803560519,179.67433975386203,65.409,0.88,1.65,73.095,-0.2956000000000001,0.0,1.0,0.9824267040000001,0.011768292682855072,2449.385794855785,0.3299999999870358,1377.6000000000001,0.031564764,29.627718952351138,-8.400000000083665,5.1957631344682065e-06
226,MOF-226(Al),130,0.49019796,15.81818181818182,0.7586206896551725,14.13,5.22,1409.2,1.11019796,396.8,0.6200000000000001,Al,BTC,ДМФА,1.0743,0.4926,130,130,28.0,1,6,1,0,9,6,0,207.11699999999996,-3.2229,120.38999999999999,6,0,375,207,0.0028648000000000002,0.0023797101449275363,1.2038435866917938,26.063483174100824,26.9815386,0.675,1.61,73.095,-0.2956000000000001,0.0,1.0,5.7952333512,0.010026965654264813,2874.756959668382,0.32999999997913787,7356.023999999999,0.37187431448275865,8.214011756757436,-5.22000000030178,1.3454479777455681e-05
227,MOF-227(Al),130,0.4561998,16.12121212121212,0.7443609022556391,13.15,5.32,1304.3,0.9861998,369.7,0.53,Al,BTC,ДМФА,1.0746,0.492,130,130,28.0,1,6,1,0,9,6,0,207.11699999999996,-3.2229,120.38999999999999,6,0,375,207,0.0028656,0.0023768115942028986,1.2056482732333484,26.056206936482216,26.9815386,0.675,1.61,73.095,-0.2956000000000001,0.0,1.0,5.246582936,0.010082036341324787,2859.0542940635783,0.3299999999795301,6938.876,0.3395772947368421,8.552154478627065,-5.3200000002898475,1.2953426097010363e-05
228,MOF-228(Al),130,0.48985104,16.24242424242424,0.7388059701492538,14.12,5.36,1391.7,0.8898510399999999,272.5,0.3999999999999999,Al,BTC,ДМФА,1.0749,0.4929,130,130,28.0,1,6,1,0,9,6,0,207.11699999999996,-3.2229,120.38999999999999,6,0,375,207,0.0028664,0.002381159420289855,1.203782817644465,26.048934760397305,26.9815386,0.675,1.61,73.095,-0.2956000000000001,0.0,1.0,4.7696015744,0.010145864769698823,2841.0677604337275,0.32999999997968293,7459.512000000001,0.3619048728358209,8.691277643838436,-5.360000000285208,1.2760812777345562e-05
230,MOF-230(Al)^^,130,0.44301684,23.57575757575757,0.5089974293059126,12.77,7.78,1069.0,1.35301684,334.0,0.91,Al,BDC,ДМФА,0.756,2.4985,120,120,28.0,1,4,1,0,8,4,0,164.11599999999996,-1.5864000000000003,80.25999999999999,4,0,375,164,0.002016,0.015234756097560975,0.1323289887124458,37.037036988046246,26.9815386,0.675,1.61,73.095,-0.2956000000000001,0.0,1.0,10.5264710152,0.011945743685676384,2413.0008186302784,0.32999999998600266,8316.82,0.2254944326992288,23.071342782067173,-7.780000000107442,6.056876553288533e-06
231,MOF-231(Al),120,0.47736192,24.57575757575757,0.4882860665844637,13.76,8.11,1167.2,1.26736192,307.5,0.7899999999999999,Al,BDC,ДМФА,0.756,2.4985,120,120,28.0,1,4,1,0,8,4,0,164.11599999999996,-1.5864000000000003,80.25999999999999,4,0,375,164,0.002016,0.015234756097560975,0.1323289887124458,37.037036988046246,26.9815386,0.675,1.61,73.095,-0.2956000000000001,0.0,1.0,10.278305171199998,0.011788896504445005,2445.1049584241973,0.3299999999865722,9465.992,0.23308917425400744,26.356612248648506,-8.110000000094049,5.573990290230562e-06
