№ Образца,Адсорбент,"Tрег, ᵒС","W0, см3/г","E0, кДж/моль","х0, нм","а0, ммоль/г","E, кДж/моль","SБЭТ, м2/г","Ws, см3/г","Sme, м2/г","Wme, см3/г",Металл,Лиганд,Растворитель,"m (соли), г","m(кис-ты), г","Т.син., °С","Т суш., °С","Vсин. (р-ля), мл",Mix_solv_ratio
557,MOF-557(Zr-BTC),160,0.1630524,22.16363636363636,0.5414273995077933,4.7,7.314,450.0,0.2730524,70.0,0.11,Zr,BDC,ДМФА,0.5448,0.3462,110,130,50.0,1
570,MOF-570Cu-BTC,150,0.25463928,36.04848484848485,0.3328850033624748,7.34,11.896,619.212,0.43563928,54.553,0.181,Cu,BTC,Этанол,2.0542,1.0066,130,120,24.0,1
571,MOF-571Cu-BTC,200,0.589868076,32.7030303030303,0.3669384729429207,17.003,10.792,1384.802,0.607868076,1.929,0.018,Cu,BTC,ДМФА,2.0928,1.0119,130,120,24.0,1
571,MOF-571-220,220,0.640275552,51.41212121212121,0.2334079924554992,18.456,16.966,1568.483,0.7192755519999999,17.523,0.0789999999999999,Cu,BTC,ДМФА,2.0928,1.0119,130,120,24.0,1
572,MOF-572,220,0.601247052,46.79393939393939,0.2564434658722964,17.331,15.442,1451.683,0.6682470519999999,16.843,0.0669999999999999,Cu,BTC,ДМФА,3.99,2.0054,130,120,32.0,1
573,MOF-573-180,180,0.276425856,42.56060606060606,0.2819508721965113,7.968,14.045,654.518,0.325425856,6.979,0.0489999999999999,Cu,BTC,Этанол,2.02,1.0191,120,120,24.0,1
573,MOF-573-150,150,0.268863,43.02424242424242,0.278912522890548,7.75,14.198,636.085,0.315863,5.731,0.0469999999999999,Cu,BTC,Этанол,2.02,1.0191,120,120,24.0,1
574,MOF-574,200,0.277258464,47.28787878787879,0.2537648189682794,7.992,15.605,672.423,0.385258464,13.511,0.108,Cu,BTC,Этанол,2.079,1.0113,120,120,24.0,1
575,MOF-575-300,300,0.506815428,17.62121212121212,0.6809974204643164,14.609,5.815,1296.788,0.635815428,0.05,0.129,Al,BTC,ДМФА,1.076,0.4928,120,120,28.0,1
575,MOF-575-250,250,0.472747884,17.75454545454545,0.6758832565284179,13.627,5.859,1215.203,0.6727478840000001,107.83,0.2000000000000001,Al,BTC,ДМФА,1.076,0.4928,120,120,28.0,1
576,MOF-576,130,0.204127728,18.97878787878788,0.6322848475171644,5.884,6.263,502.929,0.204127728,0.0,0.0,Al,BTC,Ацетонитрил,1.074,0.4926,120,120,29.0,1
576,MOF-576Al-BTC-300,300,0.415193856,19.3030303030303,0.6216640502354789,11.968,6.37,1003.541,0.415193856,0.0,0.0,Al,BTC,Ацетонитрил,1.074,0.4926,120,120,29.0,1
577,MOF-577,300,0.416754996,19.39696969696969,0.6186533354163413,12.013,6.401,996.626,0.441754996,178.345,0.025,Al,BTC,Ацетонитрил,1.074,0.494,80,85,40.0,1
578,MOF-578,300,0.37085748,19.89090909090909,0.603290676416819,10.69,6.564,883.771,0.4098574799999999,163.74,0.0389999999999998,Al,BTC,Ацетонитрил,1.071,0.492,80,80,40.0,1
585,MOF-585,160,0.507821496,17.52121212121212,0.6848841231407818,14.638,5.782,1260.233,0.5638214960000001,8.336,0.056,Zr,BDC,ДМФА,0.5417,0.3461,120,160,25.0,1
624,MOF-624Al-BDC,160,0.503311536,29.59393939393939,0.405488429244317,14.508,9.766,1156.464,1.477311536,129.499,0.974,Al,BDC,ДМФА,1.25,0.5086,150,160,30.0,1
626,MOF-626Y-BTC,300,0.144735024,30.00909090909091,0.3998788245986065,4.172,9.903,319.665,0.144735024,0.0,0.0,Y,BTC,ДМФА/Вода,0.422,0.2102,130,130,24.0,2
627,MOF-627Y-BTC,280,0.27371988,40.69090909090909,0.2949061662198391,7.89,13.428,643.092,0.28171988,0.0,0.0079999999999999,Y,BTC,ДМФА/Вода,0.4223,0.214,130,130,20.0,1
651,MOF-651Y-BTB,250,0.223971552,28.33636363636364,0.4234841193455245,6.456,9.351,544.23,0.264971552,22.322,0.041,Y,BTB,ДМФА/Вода,0.228,0.225,130,130,24.0,2
665,MOF-665,150,0.094119396,22.55151515151515,0.5321150228433217,2.713,7.442,197.104,0.094119396,0.0,0.0,Fe,BTC,ДМФА,2.8843,0.5052,150,110,30.0,1
666,MOF-666,150,0.298247124,17.8,0.6741573033707866,8.597,5.874,817.984,0.442247124,50.713,0.144,Fe,BTC,ДМФА,0.9802,0.5051,150,110,30.0,1
676,MOF-676,250,0.310424016,35.57575757575758,0.3373083475298126,8.948,11.74,692.782,0.311424016,5.075,0.001,Y,BTC,ДМФА/Вода,1.2602,0.6338,130,130,36.0,2
